Region,TEMP_C,Year
Central Asia & Mongolia,0.974766133482935,1950
East Asia & China,8.366541878527128,1950
Europe & Russia,2.192746130773068,1950
Latin America & Caribbean,24.972242874845104,1950
MENA,17.80590522248299,1950
North America,11.603457950877464,1950
Oceania,21.153061524010802,1950
Other,1.6839751127889004,1950
South Asia,21.14562962962963,1950
Southeast Asia,24.58765292678336,1950
Central Asia & Mongolia,2.1668966823618554,1955
East Asia & China,11.952272923780406,1955
Europe & Russia,4.374507235725805,1955
Latin America & Caribbean,21.058815701929472,1955
MENA,21.65607341601934,1955
North America,12.09042397978656,1955
Oceania,20.044812108302665,1955
Other,1.3032856979398144,1955
South Asia,26.41069878472222,1955
Southeast Asia,25.659435694459127,1955
Sub-Saharan Africa,18.020248038471273,1955
Central Asia & Mongolia,4.325075349262739,1960
East Asia & China,11.532034039370838,1960
Europe & Russia,2.518795146578087,1960
Latin America & Caribbean,22.239013230751297,1960
MENA,22.927999172356714,1960
North America,11.313692785936327,1960
Oceania,18.615294467255143,1960
Other,0.3155229497607748,1960
South Asia,17.10547911011264,1960
Southeast Asia,25.39416529006266,1960
Sub-Saharan Africa,22.460358497069976,1960
Central Asia & Mongolia,5.595337030227842,1965
East Asia & China,11.353591117858594,1965
Europe & Russia,4.1446762653951925,1965
Latin America & Caribbean,22.317782034908472,1965
MENA,22.17992872529986,1965
North America,11.244920063595243,1965
Oceania,19.7014936529941,1965
Other,-1.097787253016749,1965
South Asia,26.761183261183263,1965
Southeast Asia,26.953134590883536,1965
Sub-Saharan Africa,21.356046688222616,1965
Central Asia & Mongolia,2.4871625252777085,1970
East Asia & China,4.8226811982890565,1970
Europe & Russia,0.32742128381249425,1970
Latin America & Caribbean,24.51625215975545,1970
MENA,15.663632307005802,1970
North America,12.159440852800046,1970
Oceania,19.94394531078217,1970
Other,-1.15910361348425,1970
South Asia,27.038529371862705,1970
Southeast Asia,26.721264213447935,1970
Sub-Saharan Africa,25.846317581949766,1970
Central Asia & Mongolia,4.7998192391176815,1975
East Asia & China,10.977300494915367,1975
Europe & Russia,6.107905630726981,1975
Latin America & Caribbean,21.22798756826855,1975
MENA,21.606826185028318,1975
North America,10.198007514360045,1975
Oceania,20.94678002229339,1975
Other,3.100240612912247,1975
South Asia,21.156882150628203,1975
Southeast Asia,25.080747782434383,1975
Sub-Saharan Africa,23.155186107801725,1975
Central Asia & Mongolia,4.3852339826335385,1980
East Asia & China,10.404733850991617,1980
Europe & Russia,5.349103387679194,1980
Latin America & Caribbean,21.226065816333797,1980
MENA,22.874932282718312,1980
North America,10.532243167379448,1980
Oceania,22.227286795012905,1980
Other,1.61992734425762,1980
South Asia,22.60198854739856,1980
Southeast Asia,25.419252916883664,1980
Sub-Saharan Africa,22.91908966341233,1980
Central Asia & Mongolia,3.841035501449699,1985
East Asia & China,10.566927163503191,1985
Europe & Russia,5.413336400218114,1985
Latin America & Caribbean,20.797898326751636,1985
MENA,22.558564737434633,1985
North America,10.229254104154565,1985
Oceania,22.16403268113442,1985
Other,1.3023266417764046,1985
South Asia,22.224442761395192,1985
Southeast Asia,24.82613648440406,1985
Sub-Saharan Africa,22.36913276402218,1985
Central Asia & Mongolia,5.309149580957927,1990
East Asia & China,11.821575543797765,1990
Europe & Russia,7.3779848644875585,1990
Latin America & Caribbean,21.213283026366,1990
MENA,22.998532512112398,1990
North America,11.122631185351768,1990
Oceania,20.236208993041632,1990
Other,2.867813195541939,1990
South Asia,22.02123158788634,1990
Southeast Asia,25.114013538968955,1990
Sub-Saharan Africa,22.495682354302893,1990
Central Asia & Mongolia,5.597569468472952,1995
East Asia & China,11.94121292229674,1995
Europe & Russia,8.306550402062905,1995
Latin America & Caribbean,21.586537742926364,1995
MENA,22.44314906073036,1995
North America,10.017260559163287,1995
Oceania,20.096521904225284,1995
Other,1.4683874852415668,1995
South Asia,22.49666714109498,1995
Southeast Asia,25.3992829648953,1995
Sub-Saharan Africa,23.072150645315563,1995
Central Asia & Mongolia,6.039294190851558,2000
East Asia & China,11.894239390835324,2000
Europe & Russia,9.0218795068385,2000
Latin America & Caribbean,21.391391353472773,2000
MENA,22.718555040964887,2000
North America,10.377935614188935,2000
Oceania,19.36481869710381,2000
Other,1.1017973095461406,2000
South Asia,22.99349227153704,2000
Southeast Asia,25.832944115542524,2000
Sub-Saharan Africa,20.884743179393386,2000
Central Asia & Mongolia,6.7672061109010935,2005
East Asia & China,11.27526401827926,2005
Europe & Russia,8.496526920764007,2005
Latin America & Caribbean,21.616536460176825,2005
MENA,22.89865892653278,2005
North America,10.845379128412702,2005
Oceania,19.523228621884293,2005
Other,8.903214796400652,2005
South Asia,23.51523309163012,2005
Southeast Asia,26.289964716580567,2005
Sub-Saharan Africa,21.92570377508069,2005
Central Asia & Mongolia,6.731428824060955,2010
East Asia & China,11.65394169869297,2010
Europe & Russia,7.440600925394376,2010
Latin America & Caribbean,22.097185898541905,2010
MENA,24.257193902548078,2010
North America,10.90383872036519,2010
Oceania,19.143005450173323,2010
Other,0.416007984227557,2010
South Asia,23.511281135311418,2010
Southeast Asia,26.602691027005893,2010
Sub-Saharan Africa,21.971055850404348,2010
Central Asia & Mongolia,7.074722818386543,2015
East Asia & China,12.186208386500045,2015
Europe & Russia,8.15671543590417,2015
Latin America & Caribbean,22.65300116959064,2015
MENA,23.38841919194926,2015
North America,11.227341615234092,2015
Oceania,19.298800824757326,2015
Other,3.4390431657369094,2015
South Asia,24.22243829352834,2015
Southeast Asia,26.671247258331995,2015
Sub-Saharan Africa,21.755265129610944,2015
Central Asia & Mongolia,7.247069846652144,2020
East Asia & China,12.43526894565305,2020
Europe & Russia,8.868053890516283,2020
Latin America & Caribbean,22.533757184541756,2020
MENA,23.159875583638744,2020
North America,11.097554872094932,2020
Oceania,19.21061633683335,2020
Other,2.6670000439467474,2020
South Asia,24.54294093505762,2020
Southeast Asia,26.796617490111554,2020
Sub-Saharan Africa,21.808524851381993,2020
